title,url
Bloodletting,https://www.smashwords.com/books/view/1570309
Dance of Soldiers,https://www.smashwords.com/books/view/1592962
Scum Villain's Survival Guide Ch…,https://www.smashwords.com/books/view/1599611
A Vineyard Wedding,https://www.smashwords.com/books/view/1173790
New Beginnings,https://www.smashwords.com/books/view/1173772
Rising Star: A Country Singer S…,https://www.smashwords.com/books/view/1193924
Desperate Creed,https://www.smashwords.com/books/view/1278657
Nantucket Solstice,https://www.smashwords.com/books/view/1514844
Esrahaddon,https://www.smashwords.com/books/view/1435419
The Blood of Tyrants,https://www.smashwords.com/books/view/1443366
The Sunrise Cove Inn,https://www.smashwords.com/books/view/1173726
The Copperfield House,https://www.smashwords.com/books/view/1173725
The Huguenot Connection Trilogy…,https://www.smashwords.com/books/view/1599363
The Jo Modeen Box Set: Books 7 to 9,https://www.smashwords.com/books/view/1051593
The Jo Modeen Box Set: Books 4 to 6,https://www.smashwords.com/books/view/758346
Hostage,https://www.smashwords.com/books/view/1571244
Delta Red Arc,https://www.smashwords.com/books/view/1537987
Lucky Slots Book 1,https://www.smashwords.com/books/view/1539917
The Last Bohemians,https://www.smashwords.com/books/view/335265
Hunchback,https://www.smashwords.com/books/view/419763
The Geographical Cure?,https://www.smashwords.com/books/view/1142161
A Vineyard Celebration,https://www.smashwords.com/books/view/1494902
No Honor in Death,https://www.smashwords.com/books/view/1173913
The Parthian,https://www.smashwords.com/books/view/63028
"Warrior Mage (Chains of Honor, …",https://www.smashwords.com/books/view/538186
Ten Years a Woman (A Transgendered …,https://www.smashwords.com/books/view/646895
Big Gene Little Gene,https://www.smashwords.com/books/view/653415
Death Match at the Roman Colosseum,https://www.smashwords.com/books/view/1544054
Reincarnated into a corrupt aristocracy 2,https://www.smashwords.com/books/view/1602649
Malik's Revenge,https://www.smashwords.com/books/view/1602567
The Sword God Reincarnated in th…,https://www.smashwords.com/books/view/1602549
